"ñÒíËï‘çœì˙","ï‘çœã‡äz","ñàåéï‘çœäz(å≥ã‡)","ñàåéï‘çœäz(óòëß)","ëùäzï‘çœäz(å≥ã‡)","ëùäzï‘çœäz(óòëß)","ã‡óò","ï‘çœå„écçÇ"
"2000/04/07","8545","8129","416","-","-","0.5","991871"
"2000/05/07","8545","8132","413","-","-","0.5","983739"
"2000/06/07","8545","8136","409","-","-","0.5","975603"
"2000/07/07","8545","8139","406","-","-","0.5","967464"
"2000/08/07","8545","8142","403","-","-","0.5","959322"
"2000/09/07","8545","8146","399","-","-","0.5","951176"
"2000/10/07","8545","8149","396","-","-","0.5","943027"
"2000/11/07","8545","8153","392","-","-","0.5","934874"
"2000/12/07","8545","8156","389","-","-","0.5","926718"
"2001/01/07","8545","8159","386","-","-","0.5","918559"
"2001/02/07","8545","8163","382","-","-","0.5","910396"
"2001/03/07","8545","8166","379","-","-","0.5","902230"
"2001/04/07","8545","8170","375","-","-","0.5","894060"
"2001/05/07","8545","8173","372","-","-","0.5","885887"
"2001/06/07","8545","8176","369","-","-","0.5","877711"
"2001/07/07","8545","8180","365","-","-","0.5","869531"
"2001/08/07","8545","8183","362","-","-","0.5","861348"
"2001/09/07","8545","8187","358","-","-","0.5","853161"
"2001/10/07","8545","8190","355","-","-","0.5","844971"
"2001/11/07","8545","8193","352","-","-","0.5","836778"
"2001/12/07","8545","8197","348","-","-","0.5","828581"
"2002/01/07","8545","8200","345","-","-","0.5","820381"
"2002/02/07","8545","8204","341","-","-","0.5","812177"
"2002/03/07","8545","8207","338","-","-","0.5","803970"
"2002/04/07","8545","8211","334","-","-","0.5","795759"
"2002/05/07","8545","8214","331","-","-","0.5","787545"
"2002/06/07","8545","8217","328","-","-","0.5","779328"
"2002/07/07","8545","8221","324","-","-","0.5","771107"
"2002/08/07","8545","8224","321","-","-","0.5","762883"
"2002/09/07","8545","8228","317","-","-","0.5","754655"
"2002/10/07","8545","8231","314","-","-","0.5","746424"
"2002/11/07","8545","8234","311","-","-","0.5","738190"
"2002/12/07","8545","8238","307","-","-","0.5","729952"
"2003/01/07","8545","8241","304","-","-","0.5","721711"
"2003/02/07","8545","8245","300","-","-","0.5","713466"
"2003/03/07","8545","8248","297","-","-","0.5","705218"
"2003/04/07","8545","8252","293","-","-","0.5","696966"
"2003/05/07","8545","8255","290","-","-","0.5","688711"
"2003/06/07","8545","8259","286","-","-","0.5","680452"
"2003/07/07","8545","8262","283","-","-","0.5","672190"
"2003/08/07","8545","8265","280","-","-","0.5","663925"
"2003/09/07","8745","8082","663","-","-","1.2","655843"
"2003/10/07","8745","8090","655","-","-","1.2","647753"
"2003/11/07","8745","8098","647","-","-","1.2","639655"
"2003/12/07","8745","8106","639","-","-","1.2","631549"
"2004/01/07","8745","8114","631","-","-","1.2","623435"
"2004/02/07","8745","8122","623","-","-","1.2","615313"
"2004/03/07","8745","8130","615","-","-","1.2","607183"
"2004/04/07","8745","8138","607","-","-","1.2","599045"
"2004/05/07","8745","8146","599","-","-","1.2","590899"
"2004/06/07","8745","8155","590","-","-","1.2","582744"
"2004/07/07","8745","8163","582","-","-","1.2","574581"
"2004/08/07","8745","8171","574","-","-","1.2","566410"
"2004/09/07","8745","8179","566","-","-","1.2","558231"
"2004/10/07","8745","8187","558","-","-","1.2","550044"
"2004/11/07","8745","8195","550","-","-","1.2","541849"
"2004/12/07","8745","8204","541","-","-","1.2","533645"
"2005/01/07","8745","8212","533","-","-","1.2","525433"
"2005/02/07","8745","8220","525","-","-","1.2","517213"
"2005/03/07","8745","8228","517","-","-","1.2","508985"
"2005/04/07","8745","8237","508","-","-","1.2","500748"
"2005/05/07","8745","8245","500","-","-","1.2","492503"
"2005/06/07","8745","8253","492","-","-","1.2","484250"
"2005/07/07","8745","8261","484","-","-","1.2","475989"
"2005/08/07","8745","8270","475","-","-","1.2","467719"
"2005/09/07","8745","8278","467","-","-","1.2","459441"
"2005/10/07","8745","8286","459","-","-","1.2","451155"
"2005/11/07","8745","8294","451","-","-","1.2","442861"
"2005/12/07","8745","8303","442","-","-","1.2","434558"
"2006/01/07","8745","8311","434","-","-","1.2","426247"
"2006/02/07","8745","8319","426","-","-","1.2","417928"
"2006/03/07","8745","8328","417","-","-","1.2","409600"
"2006/04/07","8745","8336","409","-","-","1.2","401264"
"2006/05/07","8745","8344","401","-","-","1.2","392920"
"2006/06/07","8745","8353","392","-","-","1.2","384567"
"2006/07/07","8745","8361","384","-","-","1.2","376206"
"2006/08/07","8745","8369","376","-","-","1.2","367837"
"2006/09/07","8745","8378","367","-","-","1.2","359459"
"2006/10/07","8745","8386","359","-","-","1.2","351073"
"2006/11/07","8745","8394","351","-","-","1.2","342679"
"2006/12/07","8745","8403","342","-","-","1.2","334276"
"2007/01/07","8745","8411","334","-","-","1.2","325865"
"2007/02/07","8745","8420","325","-","-","1.2","317445"
"2007/03/07","8745","8428","317","-","-","1.2","309017"
"2007/04/07","8745","8436","309","-","-","1.2","300581"
"2007/05/07","8745","8445","300","-","-","1.2","292136"
"2007/06/07","8745","8453","292","-","-","1.2","283683"
"2007/07/07","8745","8462","283","-","-","1.2","275221"
"2007/08/07","8745","8470","275","-","-","1.2","266751"
"2007/09/07","8745","8479","266","-","-","1.2","258272"
"2007/10/07","8745","8487","258","-","-","1.2","249785"
"2007/11/07","8745","8496","249","-","-","1.2","241289"
"2007/12/07","8766","8485","281","-","-","1.4","232804"
"2008/01/07","8766","8495","271","-","-","1.4","224309"
"2008/02/07","8766","8505","261","-","-","1.4","215804"
"2008/03/07","8766","8515","251","-","-","1.4","207289"
"2008/04/07","8766","8525","241","-","-","1.4","198764"
"2008/05/07","8766","8535","231","-","-","1.4","190229"
"2008/06/07","8766","8545","221","-","-","1.4","181684"
"2008/07/07","8766","8555","211","-","-","1.4","173129"
"2008/08/07","8766","8565","201","-","-","1.4","164564"
"2008/09/07","8766","8575","191","-","-","1.4","155989"
"2008/10/07","8766","8585","181","-","-","1.4","147404"
"2008/11/07","8766","8595","171","-","-","1.4","138809"
"2008/12/07","8766","8605","161","-","-","1.4","130204"
"2009/01/07","8766","8615","151","-","-","1.4","121589"
"2009/02/07","8766","8625","141","-","-","1.4","112964"
"2009/03/07","8766","8635","131","-","-","1.4","104329"
"2009/04/07","8766","8645","121","-","-","1.4","95684"
"2009/05/07","8766","8655","111","-","-","1.4","87029"
"2009/06/07","8766","8665","101","-","-","1.4","78364"
"2009/07/07","8766","8675","91","-","-","1.4","69689"
"2009/08/07","8766","8685","81","-","-","1.4","61004"
"2009/09/07","8766","8695","71","-","-","1.4","52309"
"2009/10/07","8766","8705","61","-","-","1.4","43604"
