"約定履歴"
"商品種別","全て"
"注文種別","全て"
"取引区分","全て"
"対象","期間指定","2026-01-05","-","2026-07-29"
"約定番号","約定日時","市場","銘柄","取引","約定価格","約定数量","手数料","消費税","約定金額","取引日","受渡金額","受渡日","新規建日","新規建単価","新規建手数料","新規建消費税","決済損益","SQ日"
"397560424","2026/02/13 16:00","大阪/立会","マイクロ225先物26年02月限","決済売(清算)","57045.7","4","40","4","2281828","2026/02/13","89740","2026/02/16","2026/02/05","54800","40","4","89740","2026/02/13",""
"397560362","2026/02/13 16:00","大阪/立会","マイクロ225先物26年02月限","決済売(清算)","57045.7","1","10","1","570457","2026/02/13","22435","2026/02/16","2026/02/05","54800","10","1","22435","2026/02/13",""
"397560302","2026/02/13 16:00","大阪/立会","マイクロ225先物26年02月限","決済売(清算)","57045.7","2","20","2","1140914","2026/02/13","44870","2026/02/16","2026/02/05","54800","20","2","44870","2026/02/13",""
"397560190","2026/02/13 16:00","大阪/立会","マイクロ225先物26年02月限","決済売(清算)","57045.7","1","10","1","570457","2026/02/13","21435","2026/02/16","2026/02/05","54900","10","1","21435","2026/02/13",""
"397560135","2026/02/13 16:00","大阪/立会","マイクロ225先物26年02月限","決済売(清算)","57045.7","1","10","1","570457","2026/02/13","21435","2026/02/16","2026/02/05","54900","10","1","21435","2026/02/13",""
"397560047","2026/02/13 16:00","大阪/立会","マイクロ225先物26年02月限","決済売(清算)","57045.7","1","10","1","570457","2026/02/13","20435","2026/02/16","2026/02/05","55000","10","1","20435","2026/02/13",""
"397559965","2026/02/13 16:00","大阪/立会","マイクロ225先物26年02月限","決済売(清算)","57045.7","1","10","1","570457","2026/02/13","50435","2026/02/16","2026/01/21","52000","10","1","50435","2026/02/13",""
"397559876","2026/02/13 16:00","大阪/立会","マイクロ225先物26年02月限","決済売(清算)","57045.7","9","90","9","5134113","2026/02/13","453915","2026/02/16","2026/01/21","52000","90","9","453915","2026/02/13",""
"397559726","2026/02/13 16:00","大阪/立会","マイクロ225先物26年02月限","決済売(清算)","57045.7","10","100","10","5704570","2026/02/13","404350","2026/02/16","2026/01/20","53000","100","10","404350","2026/02/13",""
"397559659","2026/02/13 16:00","大阪/立会","マイクロ225先物26年02月限","決済売(清算)","57045.7","10","100","10","5704570","2026/02/13","304350","2026/02/16","2026/01/15","54000","100","10","304350","2026/02/13",""
"397559567","2026/02/13 16:00","大阪/立会","マイクロ225先物26年02月限","決済売(清算)","57045.7","1","10","1","570457","2026/02/13","26135","2026/02/16","2026/01/15","54430","10","1","26135","2026/02/13",""
"397559480","2026/02/13 16:00","大阪/立会","マイクロ225先物26年02月限","決済売(清算)","57045.7","2","20","2","1140914","2026/02/13","52270","2026/02/16","2026/01/15","54430","20","2","52270","2026/02/13",""
"397559365","2026/02/13 16:00","大阪/立会","マイクロ225先物26年02月限","決済売(清算)","57045.7","4","40","4","2281828","2026/02/13","104540","2026/02/16","2026/01/15","54430","40","4","104540","2026/02/13",""
"397559286","2026/02/13 16:00","大阪/立会","マイクロ225先物26年02月限","決済売(清算)","57045.7","3","30","3","1711371","2026/02/13","78405","2026/02/16","2026/01/15","54430","30","3","78405","2026/02/13",""
"397559195","2026/02/13 16:00","大阪/立会","マイクロ225先物26年02月限","決済売(清算)","57045.7","19","190","19","10838683","2026/02/13","506065","2026/02/16","2026/01/14","54380","190","19","506065","2026/02/13",""
"397559069","2026/02/13 16:00","大阪/立会","マイクロ225先物26年02月限","決済売(清算)","57045.7","1","10","1","570457","2026/02/13","52485","2026/02/16","2026/01/08","51795","10","1","52485","2026/02/13",""
"397558949","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール68,000円","新規買(放棄)","0","1","0","0","0","2026/02/13","0","--","2026/02/09","1","20","2","-1022","2026/02/13",""
"397558839","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール68,000円","新規買(放棄)","0","3","0","0","0","2026/02/13","0","--","2026/02/09","1","60","6","-3066","2026/02/13",""
"397558721","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール68,000円","新規買(放棄)","0","1","0","0","0","2026/02/13","0","--","2026/02/09","1","20","2","-1022","2026/02/13",""
"397558542","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール68,000円","新規買(放棄)","0","3","0","0","0","2026/02/13","0","--","2026/02/09","1","60","6","-3066","2026/02/13",""
"397558416","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール68,000円","新規買(放棄)","0","2","0","0","0","2026/02/13","0","--","2026/02/09","1","40","4","-2044","2026/02/13",""
"397558196","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール68,000円","新規買(放棄)","0","10","0","0","0","2026/02/13","0","--","2026/01/29","1","200","20","-10220","2026/02/13",""
"397558058","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール68,000円","新規買(放棄)","0","10","0","0","0","2026/02/13","0","--","2026/01/26","1","200","20","-10220","2026/02/13",""
"397557870","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール68,000円","新規買(放棄)","0","10","0","0","0","2026/02/13","0","--","2026/01/20","1","200","20","-10220","2026/02/13",""
"397557643","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール59,000円","新規売(消滅)","0","1","0","0","0","2026/02/13","0","--","2026/02/10","214","428","42","213530","2026/02/13",""
"397557473","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール59,000円","新規売(消滅)","0","1","0","0","0","2026/02/13","0","--","2026/02/10","200","400","40","199560","2026/02/13",""
"397557200","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール59,000円","新規売(消滅)","0","1","0","0","0","2026/02/13","0","--","2026/02/09","210","420","42","209538","2026/02/13",""
"397556997","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール66,000円","新規買(放棄)","0","10","0","0","0","2026/02/13","0","--","2026/02/10","1","200","20","-10220","2026/02/13",""
"397556722","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール66,000円","新規買(放棄)","0","7","0","0","0","2026/02/13","0","--","2026/01/30","1","0","0","-7000","2026/02/13",""
"397556413","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール66,000円","新規買(放棄)","0","1","0","0","0","2026/02/13","0","--","2026/01/29","1","67","7","-1074","2026/02/13",""
"397556176","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール66,000円","新規買(放棄)","0","2","0","0","0","2026/02/13","0","--","2026/01/29","1","133","13","-2146","2026/02/13",""
"397555707","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール69,000円","新規買(放棄)","0","4","0","0","0","2026/02/13","0","--","2026/02/03","1","84","8","-4092","2026/02/13",""
"397555367","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール69,000円","新規買(放棄)","0","6","0","0","0","2026/02/13","0","--","2026/02/03","0.92","116","12","-5648","2026/02/13",""
"397554850","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール69,000円","新規買(放棄)","0","10","0","0","0","2026/02/13","0","--","2026/01/19","1","200","20","-10220","2026/02/13",""
"397554253","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール67,000円","新規買(放棄)","0","10","0","0","0","2026/02/13","0","--","2026/02/09","1","200","20","-10220","2026/02/13",""
"397553483","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール67,000円","新規買(放棄)","0","8","0","0","0","2026/02/13","0","--","2026/02/05","1","160","16","-8176","2026/02/13",""
"397552648","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール67,000円","新規買(放棄)","0","1","0","0","0","2026/02/13","0","--","2026/02/05","1","20","2","-1022","2026/02/13",""
"397551697","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール67,000円","新規買(放棄)","0","1","0","0","0","2026/02/13","0","--","2026/02/05","1","20","2","-1022","2026/02/13",""
"397551091","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール67,000円","新規買(放棄)","0","10","0","0","0","2026/02/13","0","--","2026/01/29","1","200","20","-10220","2026/02/13",""
"397549590","2026/02/13 16:00","大阪/立会","225ＯＰ26年02月限コール67,000円","新規買(放棄)","0","10","0","0","0","2026/02/13","0","--","2026/01/20","1","200","20","-10220","2026/02/13",""
"397453601","2026/02/13 08:45","大阪/立会","マイクロ225先物26年03月限","決済売","56900","1","10","1","569000","2026/02/13","64978","2026/02/16","2025/12/12","50400","10","1","64978","2026/03/13",""
"397263646","2026/02/12 03:44","大阪/立会","225ＯＰ26年02月限コール59,000円","決済買","200","1","400","40","200000","2026/02/12","-200440","2026/02/13","2026/02/10","214","428","43","13089","2026/02/13",""
"397204761","2026/02/11 19:02","大阪/立会","225ＯＰ26年02月限コール59,000円","決済買","270","1","540","54","270000","2026/02/12","-270594","2026/02/13","2026/02/09","270","540","54","-1188","2026/02/13",""
"397200279","2026/02/11 18:37","大阪/立会","225ＯＰ26年02月限コール59,000円","決済買","300","1","600","60","300000","2026/02/12","-300660","2026/02/13","2026/02/10","300","600","60","-1320","2026/02/13",""
"396920574","2026/02/10 08:52","大阪/立会","225ＯＰ26年02月限コール59,000円","新規売","214","1","428","42","214000","2026/02/10","213530","2026/02/12","--","--","--","--","--","2026/02/13",""
"396920574","2026/02/10 08:52","大阪/立会","225ＯＰ26年02月限コール59,000円","新規売","214","1","428","43","214000","2026/02/10","213529","2026/02/12","--","--","--","--","--","2026/02/13",""
"396824302","2026/02/10 01:41","大阪/立会","225ＯＰ26年02月限コール59,000円","新規売","200","1","400","40","200000","2026/02/10","199560","2026/02/12","--","--","--","--","--","2026/02/13",""
"396762789","2026/02/10 10:10","大阪/立会","225ＯＰ26年02月限コール59,000円","新規売","300","1","600","60","300000","2026/02/10","299340","2026/02/12","--","--","--","--","--","2026/02/13",""
"396752749","2026/02/09 09:41","大阪/立会","225ＯＰ26年02月限コール59,000円","新規売","270","1","540","54","270000","2026/02/09","269406","2026/02/10","--","--","--","--","--","2026/02/13",""
"396748822","2026/02/09 09:32","大阪/立会","225ＯＰ26年02月限コール59,000円","新規売","210","1","420","42","210000","2026/02/09","209538","2026/02/10","--","--","--","--","--","2026/02/13",""
